pair,mean_jaccard,mean_weight_overlap,n_dates
FCF vs ROIC,0.09367430929652064,0.43719749841471933,61
FCF vs Dual mom,0.16216140906943852,0.26258373760236653,61
FCF vs SUE,0.06062039601719326,0.057386339811576696,61
ROIC vs Dual mom,0.056255272844885074,0.29867298933074266,61
ROIC vs SUE,0.015371204850828294,0.023545208521519832,60
Dual mom vs SUE,0.041511275473594754,0.040730124933432144,61
