symbol,cap_weight,cvar_weight,shift
AAPL,0.1,0.012898098461483619,-0.08710190153851638
GOOG,0.1,0.00800043875224128,-0.09199956124775872
MSFT,0.1,0.0067158321522368105,-0.0932841678477632
META,0.09104857179459204,0.00723932085718648,-0.08380925093740556
AVGO,0.06425972654478243,0.005712256706722439,-0.058547469838059994
ORCL,0.027154954916616993,0.0058121333400496305,-0.02134282157656736
PG,0.02451222119770381,0.012141152832681032,-0.012371068365022777
JNJ,0.02190203096468442,0.01587023855089046,-0.0060317924137939585
NVDA,0.019571881750418133,0.006225626497767011,-0.013346255252651122
CRM,0.019201837424872848,0.007987004116478364,-0.011214833308394484
ABBV,0.018635643058624547,0.004678450167293858,-0.013957192891330688
KO,0.01597890380798711,0.012641919032858355,-0.0033369847751287558
MRK,0.014986939833025731,0.011660429110882883,-0.0033265107221428485
CSCO,0.014031021248367742,0.015690954916124926,0.0016599336677571835
LIN,0.012191049589748166,0.010770334118276825,-0.0014207154714713406
