symbol,as_of,weight,debt_ratio,cash_ratio,receivables_ratio,near,gap_to_limit
AMGN,2019-12-31,0.019364443680341608,0.24419456067190018,0.2951601418029823,0.32478455817727586,cash,0.00483985819701771
ABBV,2019-12-31,0.01746409704360906,0.28546526621838164,0.05945932950017763,0.09917264422898997,debt,0.014534733781618348
IR,2019-12-31,0.0009273934974998161,0.2827875404014388,0.03740960704311838,0.12626587982998275,debt,0.017212459598561214
TECH,2019-12-31,0.00026559538817351057,0.2902443048893471,0.09781620727011117,0.17880253377504154,debt,0.009755695110652884
AMGN,2020-01-31,0.01736879627878944,0.24167419895975156,0.29211375813945706,0.32143241731519107,cash,0.00788624186054293
ABBV,2020-01-31,0.015993828528660905,0.28798616421564804,0.05998440530586649,0.10004842194980461,debt,0.012013835784351945
HLT,2020-01-31,0.004058077957273268,0.28657819484887825,0.015894716835135967,0.0612518492430922,debt,0.013421805151121735
IR,2020-01-31,0.0008934825010487821,0.2826863947897431,0.037396226617720935,0.12622071786975791,debt,0.017313605210256877
TECH,2020-01-31,0.00025425943781466777,0.28504165964120176,0.09606284633460735,0.1755974884493263,debt,0.014958340358798228
AMT,2020-02-29,0.014499422122496716,0.2976742241969579,0.018576641642395187,0.024296148548280518,debt,0.002325775803042107
DHR,2020-02-29,0.012867909397900314,0.28832726412981396,0.26466699542702044,0.30701424546240563,debt,0.011672735870186024
GILD,2020-02-29,0.012675192306393227,0.28303968015601044,0.28026602249254534,0.32149109199682824,debt,0.016960319843989546
FTV,2020-02-29,0.0021152768653044337,0.297691782347141,0.07430580235373505,0.1596662266474176,debt,0.0023082176528589904
IVZ,2020-02-29,0.0008254183714457967,0.28409510497862334,0.13536032546660828,0.20659639463261978,debt,0.015904895021376653
TECH,2020-02-29,0.0002585769656748284,0.2812475036503401,0.09478416509068509,0.17326013094299228,debt,0.018752496349659864
AMT,2020-03-31,0.015222417921932697,0.2922088174386504,0.0182355677618706,0.023850062445814505,debt,0.0077911825613495855
GILD,2020-03-31,0.014939381359498686,0.28366031128964847,0.28088057172876507,0.32219603690338877,debt,0.01633968871035152
DHR,2020-03-31,0.013470543386808675,0.28459838021618966,0.26124410545269333,0.3030436862278726,debt,0.015401619783810327
GEN,2020-03-31,0.0018605610227633313,0.2828800779880345,0.14590355953788298,0.19646632025879399,debt,0.017119922011965494
GILD,2020-04-30,0.01484891981477925,0.2830127908080276,0.2802393966477082,0.3214605496861482,debt,0.016987209191972386
AMT,2020-04-30,0.014718200058589901,0.28545626829248616,0.01781416854264241,0.02329891987518259,debt,0.01454373170751383
KDP,2020-04-30,0.005243058400249276,0.2851347689493481,0.0014830171755340574,0.02353053918514038,debt,0.014865231050651906
GEN,2020-04-30,0.0018710694979718642,0.28699864615513637,0.14802782986491886,0.19932675475202732,debt,0.013001353844863617
NOW,2020-04-30,0.0018599721065882821,0.0,0.29856743483883363,0.3907818330846528,cash,0.0014325651611663548
GILD,2020-05-31,0.013230265810250373,0.28142582395898547,0.2786679813381537,0.31965799074819257,debt,0.018574176041014523
NOW,2020-05-31,0.0019737448166772774,0.0,0.2889703890307888,0.3782206803417572,cash,0.011029610969211179
GILD,2020-06-30,0.013064888366524668,0.28058802391565923,0.27783839134689275,0.3187063741739529,debt,0.019411976084340754
GILD,2020-07-31,0.011267383982427622,0.2807624934183179,0.27801115112930014,0.31890454564905835,debt,0.019237506581682107
GILD,2020-08-31,0.010201408199710466,0.28216222106812855,0.2793971620969815,0.3204944286307934,debt,0.01783777893187144
GILD,2020-09-30,0.009875536364298306,0.2838301114045356,0.2810487078812366,0.3223889046466189,debt,0.016169888595464366
WM,2020-09-30,0.005927655853666556,0.29852795305853097,0.07875670772273143,0.12186168479422918,debt,0.0014720469414690185
IVZ,2020-09-30,0.00063848397058499,0.2852136153866408,0.14382016177502582,0.26112476655549494,debt,0.014786384613359183
GILD,2020-10-31,0.008425134123576495,0.28599094835335126,0.28318836962960237,0.32484329489295793,debt,0.01400905164664873
WM,2020-10-31,0.005239961863956054,0.29554770825986276,0.07797046889267828,0.12064512316727248,debt,0.004452291740137226
IVZ,2020-10-31,0.0006801141123914193,0.291749707401594,0.14711601358663276,0.26710882695624477,debt,0.008250292598405984
GILD,2020-11-30,0.008104861506586415,0.2876107346634299,0.28479228278468854,0.32668313187037984,debt,0.012389265336570088
WM,2020-11-30,0.005333742855998755,0.2923259158095288,0.07712050571919782,0.11932995970591968,debt,0.007674084190471164
IVZ,2020-11-30,0.0007763224353929388,0.295879628705869,0.14919854372564367,0.270889939351631,debt,0.004120371294131009
GILD,2020-12-31,0.007608799263279809,0.2888486205447665,0.28601803795820574,0.32808918660990966,debt,0.011151379455233479
WM,2020-12-31,0.005161896407635073,0.2894725492673836,0.07636773951260578,0.11816519087741024,debt,0.010527450732616406
IVZ,2020-12-31,0.0008150702973230889,0.29559928422651516,0.1490571788461349,0.27063327247888325,debt,0.004400715773484831
GILD,2021-01-31,0.008718297492160932,0.28947657185857956,0.2866398356402281,0.3288024461553109,debt,0.010523428141420432
CCI,2021-01-31,0.0069549526294032825,0.29679937654405153,0.0032102355169490704,0.012971972088896243,debt,0.003200623455948459
IVZ,2021-01-31,0.0009797972545211627,0.2944131126681385,0.1484590468628935,0.2695472837512554,debt,0.005586887331861468
LITE,2021-01-31,0.0007395044276911662,0.2899940696820944,0.2928589532510323,0.2928589532510323,cash,0.007141046748967705
AMT,2021-02-28,0.010467281664611968,0.290466282203675,0.017319377502766627,0.022393301530949303,debt,0.009533717796325003
FISV,2021-02-28,0.008593717800575353,0.29493013329071666,0.0,0.035390475286577,debt,0.005069866709283333
IVZ,2021-02-28,0.0011219050769723914,0.28844279608004836,0.19506522327818118,0.29770853268705655,debt,0.01155720391995163
LITE,2021-02-28,0.0007367149739405211,0.28343042053910705,0.2862304610903838,0.2862304610903838,cash,0.013769538909616186
AMT,2021-03-31,0.011119045294963357,0.2886635519652266,0.01721188769259497,0.02225432126273274,debt,0.011336448034773405
FISV,2021-03-31,0.008515748917519621,0.29037244925514955,0.0,0.03484357083017217,debt,0.009627550744850444
CCI,2021-03-31,0.007765846521807081,0.2979525607989596,0.0035853212710248252,0.010245982770213186,debt,0.002047439201040391
IVZ,2021-03-31,0.0012120131035379548,0.28409584596271353,0.1921255111177786,0.2932219441548318,debt,0.015904154037286455
AMT,2021-04-30,0.011353375167853041,0.28588555731944193,0.017046246649490105,0.022040153644782515,debt,0.01411444268055806
FISV,2021-04-30,0.008233061623774593,0.2861461086432626,0.0,0.0343364263030641,debt,0.013853891356737369
CCI,2021-04-30,0.00817236916071181,0.2935013706278398,0.003531759231621309,0.010092915390366069,debt,0.0064986293721601696
IVZ,2021-04-30,0.0012432031878509835,0.28028696709419354,0.18954968042613185,0.289290711499553,debt,0.01971303290580645
AMT,2021-05-31,0.011162157546194096,0.2834641827359516,0.016901869477141864,0.021853479409287415,debt,0.016535817264048402
CCI,2021-05-31,0.00803167407571048,0.2892061670785087,0.0034800742096584036,0.009945212073291042,debt,0.010793832921491275
FISV,2021-05-31,0.007741890672684885,0.2831766218470242,0.0,0.03398009937267038,debt,0.0168233781529758
ICE,2021-05-31,0.00622729505546129,0.2998229365149087,0.0360976880087793,0.05839811806945159,debt,0.00017706348509127778
NOW,2021-05-31,0.0018252747363768993,0.0,0.298950725655568,0.3651267272664337,cash,0.0010492743444319719
AMT,2021-06-30,0.011701898121072881,0.28042413107860426,0.016720602991124767,0.021619108683307915,debt,0.019575868921395734
CCI,2021-06-30,0.008197780962084983,0.284098525579269,0.003418612963401992,0.009769570666963451,debt,0.015901474420730977
FISV,2021-06-30,0.007121538165041523,0.28074984925798546,0.0,0.03368889604807193,debt,0.019250150742014527
ICE,2021-06-30,0.00649195238802145,0.29592919388296574,0.03562889429890456,0.05763971297678131,debt,0.0040708061170342535
NOW,2021-06-30,0.0020985013363488164,0.0,0.2910686753655311,0.3554998992323502,cash,0.008931324634468885
ICE,2021-07-31,0.006107682582549799,0.29234411499461826,0.03519726268091461,0.056941427973493705,debt,0.007655885005381724
NOW,2021-07-31,0.002092109355495425,0.0,0.2829701741036134,0.34560870644449954,cash,0.017029825896386575
ICE,2021-08-31,0.005851581094397165,0.2890009491315712,0.034794756589523995,0.056290261664920536,debt,0.010999050868428784
ICE,2021-09-30,0.0059852361636416555,0.28597428235489536,0.03443035593932374,0.05570074157737909,debt,0.01402571764510463
ICE,2021-10-31,0.006911320451013362,0.2819628126897356,0.03394738828477134,0.054919406160345796,debt,0.01803718731026438
FISV,2022-01-31,0.006727173146185213,0.2813314750774396,0.0,0.03375868889683838,debt,0.01866852492256038
FTNT,2022-01-31,0.0008996493775679281,0.0,0.29205873071550764,0.40651052743632926,cash,0.007941269284492347
FISV,2022-02-28,0.005992393563707343,0.29597633531701073,0.011637248198413334,0.05149656538100272,debt,0.004023664682989259
FISV,2022-03-31,0.005947242642746081,0.29581458130955945,0.011630888326669591,0.051468421996460054,debt,0.004185418690440534
LYV,2022-03-31,0.0023082134050653883,0.29076412377882394,0.27602922243699735,0.336299774981938,debt,0.009235876221176054
