book,ret_2020,ret_2022,ret_2023,ret_2024,full_cagr,full_vol,full_sharpe,full_max_dd,full_calmar,train_max_dd,test_cagr,kill,pass
Live (cap-weight),0.3228155220537481,0.009694110175344495,0.35614641193955254,0.2085123544988674,0.23343596104394826,0.13559204860420612,1.4682853458931164,-0.0903759595201502,2.5829430999501746,-0.09037595952015032,0.281463505747759,,True
CVaR 5% weights,0.39517364782981823,0.018991970090241894,0.24227528134975995,0.13259334915188936,0.2096865135963577,0.12453127530127545,1.4308829928096365,-0.0936710980462997,2.238540147065576,-0.0936710980462998,0.18697433181414014,,True
Trim warning band,0.3276906531735595,0.011370224107753124,0.3583275401359969,0.20389473771445887,0.23399897139984294,0.1361360976082262,1.466316710196015,-0.0903759595201502,2.589172747290949,-0.0903759595201502,0.28003544360642696,,True
S&P 500,0.18331620734466192,-0.1817537451113146,0.26175800889907586,0.2534245449035941,0.14749443994106648,0.20937845671590347,0.6669231117324032,-0.33717265401236163,0.4374448466857545,-0.33717265401236174,0.259311482255588,,True
Halal (SPUS),0.2567955980529717,-0.2276119385409311,0.34196444518370295,0.27673556815553435,0.17779736697707582,0.2158422805066339,0.7739560815994277,-0.3080151286248144,0.5772358253014461,-0.3080151286248145,0.311055597676162,,True
Sleeve FCF,0.24936034900598614,-0.22934841282482343,0.30253709841769383,0.2085123544988674,0.1459331573439866,0.21624774282442255,0.6458939702123215,-0.2949209230080738,0.4948213095752162,-0.2949209230080747,0.2557786940048594,,True
Sleeve ROIC,,-0.08198955523346241,0.371918735283171,0.24630666619167818,0.24212071545282332,0.16190921446842974,1.2970075999729418,-0.11982663456446085,2.0205918019217526,-0.11982663456446085,0.3090031838697229,,True
Sleeve Dual mom,0.11913869023128698,-0.24042955411309808,0.04095828024514225,0.19464854074144466,0.054043991041334616,0.17466749464016562,0.2743873993350161,-0.3022396573412326,0.17881171358104814,-0.26191255031471583,0.11564322677503425,,True
Sleeve SUE,0.32992979909456066,-0.02310966156316696,0.6044193430153977,0.5941599124937926,0.3522661990586984,0.24521616747986183,1.2728264560569258,-0.3918045439292296,0.8990865586345194,-0.3918045439292295,0.6022760323448766,,True
