,FCF,ROIC,Dual mom,SUE
FCF,1.0,0.9196931488137567,0.776917008471205,0.5457887676163505
ROIC,0.9196931488137567,1.0,0.8013356028338409,0.5168187222232812
Dual mom,0.776917008471205,0.8013356028338409,1.0,0.3602385333553679
SUE,0.5457887676163505,0.5168187222232812,0.3602385333553679,1.0
