book,off_mode,ret_2020,ret_2022,ret_2023,ret_2024,full_cagr,full_vol,full_sharpe,full_max_dd,full_calmar,train_max_dd,train_calmar,test_cagr,test_max_dd,days_off,flips,kill,pass
Always-on FCF (10% cap),invested,0.2488417663736049,-0.22914889321546694,0.33041855653982544,0.228441581199178,0.15440302771086833,0.21817088794683778,0.6758965534825372,-0.2947383799440654,0.5238646820959337,-0.29473837994406615,0.2620800184130257,0.2796652797543373,-0.09215165663305303,,0,,True
SMA 50 → cash,cash,0.48931011307635774,0.2081883225084329,0.4279531384389921,0.3348841522676198,0.3796461325003577,0.13016718161642818,2.3853272489113273,-0.07697346861553078,4.932168698238412,-0.07697346861553078,4.898766778961294,0.3824099434671635,-0.04763501527293279,0.2732327243844321,79,,True
SMA 100 → cash,cash,0.33619881205379265,0.1522114221507651,0.3777694991316658,0.26285204516838556,0.29261847945608976,0.1334496795257212,1.8411132348639472,-0.08555217472027887,3.4203511531160284,-0.08555217472027865,3.198365483060961,0.32051597828126943,-0.05972863732413558,0.2390786338363781,42,,True
SMA 100 → defensive,defensive,0.2604068849416752,-0.00928069073268134,0.2607864302712173,0.23645071329074652,0.20582847364010393,0.19473221178519548,0.9560633322103211,-0.2620155597505506,0.7855582082074094,-0.2620155597505506,0.6745114964039822,0.24966402583685499,-0.11663263591583228,0.2390786338363781,42,,True
SMA 200 → cash,cash,0.32155581359467567,0.009699144112045976,0.39480357028712953,0.228441581199178,0.24407943516309838,0.1383198365448454,1.5042070840464175,-0.09037595952015043,2.7007119643214175,-0.09037595952015054,2.2252062969832185,0.3103872265041627,-0.08977658602877558,0.221604447974583,30,,True
SMA 200 → defensive,defensive,0.21612101803881067,-0.09270527014417052,0.35358306666482675,0.228441581199178,0.19046556342113097,0.1943363078510488,0.8917110948510162,-0.2705476823004539,0.7039999818206221,-0.2705476823004538,0.470758126369678,0.2908020001416136,-0.08977658602877525,0.221604447974583,30,,True
SPY 12-month trend → cash,cash,0.17167476107869684,-0.12020081235766444,0.18709713784073112,0.228441581199178,0.14392209777337617,0.156019963503948,0.8121260687797554,-0.1894200029085228,0.7598041155288173,-0.1894200029085229,0.5389835400217379,0.2085002904945341,-0.09215165663305236,0.221604447974583,18,,True
SMA 200 + 5d re-entry → cash,cash,0.18321903876467727,-0.11778424396687925,0.21737214134087535,0.228441581199178,0.15259395729555902,0.1311785086778723,0.9962054885618492,-0.1374089114364665,1.110509905801223,-0.1374089114364666,0.7766122278456149,0.2238750935288143,-0.08977658602877503,0.25258141382049243,13,,True
S&P 500,benchmark,0.18331620734466192,-0.1817537451113146,0.26175800889907586,0.2534245449035941,0.14749443994106648,0.20937845671590347,0.6669231117324032,-0.33717265401236163,0.4374448466857545,-0.33717265401236174,0.22595176762085487,0.259311482255588,-0.09974318833807838,,0,,True
Halal (SPUS),benchmark,0.2567955980529717,-0.2276119385409311,0.34196444518370295,0.27673556815553435,0.17779736697707582,0.2158422805066339,0.7739560815994277,-0.3080151286248144,0.5772358253014461,-0.3080151286248145,0.3116665073593799,0.311055597676162,-0.11463289070465044,,0,,True
