book,schedule,ret_2020,ret_2022,ret_2023,ret_2024,full_cagr,full_vol,full_sharpe,full_max_dd,full_calmar,train_max_dd,test_cagr,cagr_drag
Gross (keep impure),off,0.3228155220537481,0.009694110175344495,0.35614641193955254,0.2085123544988674,0.23343596104394826,0.13559204860420612,1.4682853458931164,-0.0903759595201502,2.5829430999501746,-0.09037595952015032,0.281463505747759,
"Net, pay ex_date",ex_date,0.3227142457328629,0.009684038337342438,0.3560937576999168,0.2083029736044213,0.23334846263871456,0.13559108351143004,1.4677712215472916,-0.09037822663944062,2.5819101714580714,-0.09037822663944073,0.28132707417384006,8.749840523369912e-05
"Net, pay quarter_end",quarter_end,0.3227183612480258,0.009685779157871055,0.3561073490994098,0.20829360537553732,0.233350593577075,0.13559130350307788,1.4677817939641757,-0.09038472904518491,2.581748001483956,-0.09038472904518446,0.28132853374165756,8.536746687326513e-05
"Net, pay year_end",year_end,0.3227277951712286,0.00969411017534405,0.3561334702603849,0.20827291388934643,0.2333565642097466,0.13559370885397778,1.4677938850523853,-0.09041925262508255,2.5808282797618793,-0.09041925262508266,0.2813299082864975,7.939683420166155e-05
S&P 500,benchmark,0.18331620734466192,-0.1817537451113146,0.26175800889907586,0.2534245449035941,0.14749443994106648,0.20937845671590347,0.6669231117324032,-0.33717265401236163,0.4374448466857545,-0.33717265401236174,0.259311482255588,0.0887483311044992
Halal (SPUS),benchmark,0.2567955980529717,-0.2276119385409311,0.34196444518370295,0.27673556815553435,0.17779736697707582,0.2158422805066339,0.7739560815994277,-0.3080151286248144,0.5772358253014461,-0.3080151286248145,0.311055597676162,0.05841789743176573
