symbol,ex_date,weight,price,dividend,impure_ratio,purification_amount,nav_frac,covered
NSC,2020-02-06,0.007127654864099938,186.49166870117188,0.94,,,,False
ROL,2020-02-07,0.001057317197786884,23.729978561401367,0.08,,,,False
SWKS,2020-02-10,0.002457590971728684,99.01130676269531,0.44,,,,False
IVZ,2020-02-12,0.000881169278888028,14.106706619262695,0.31,0.004008204587794734,0.0012425434222163676,7.761493315855781e-08,True
RMD,2020-02-12,0.0029291983885909438,163.1696319580078,0.39,0.0008819918667996624,0.00034397682805186835,6.1750238592280435e-09,True
AMGN,2020-02-13,0.01744746647781598,182.9963836669922,1.6,,,,False
CHD,2020-02-13,0.002386649630516961,70.09212493896484,0.24,,,,False
MMM,2020-02-13,0.009810825903987727,106.57939910888672,1.229097,0.0021364260643979855,0.002625874866473371,2.41716517225881e-07,True
TECH,2020-02-13,0.00025541108011941884,49.96057891845703,0.08,,,,False
CTSH,2020-02-14,0.004542721174243808,61.56076431274414,0.22,0.010976744186046512,0.0024148837209302327,1.7820024710342062e-07,True
ROK,2020-02-14,0.002844318509616406,179.83767700195312,1.02,0.0016580032263846568,0.00169116329091235,2.674749324677693e-08,True
AMAT,2020-02-18,0.006813369960704347,61.54426574707031,0.21,,,,False
MSFT,2020-02-19,0.10000000000000002,177.18043518066406,0.51,,,,False
HSY,2020-02-20,0.004174259255339617,136.74671936035156,0.773,0.0010295121247161333,0.000795812872405571,2.4292569969473968e-08,True
MSCI,2020-02-20,0.00308570397499389,300.38720703125,0.68,0.013716331562974204,0.00932710546282246,9.58119577936099e-08,True
TER,2020-02-20,0.0014856723803814953,66.2088394165039,0.1,0.012711335956458533,0.0012711335956458534,2.8523201606752826e-08,True
GEN,2020-02-21,0.0023163297168980377,17.84550666809082,0.125,,,,False
JNJ,2020-02-24,0.05375967531665676,122.06208038330078,0.95,0.007489488974148392,0.007115014525440972,3.1336584593664933e-06,True
