date,traded_nav,one_way,n_names,to_cash,from_cash
2019-12-31,1.0,0.5,108,False,True
2020-01-31,0.045619099999143695,0.022809549999571847,108,False,False
2020-02-12,0.008116155914546478,0.004058077957273239,107,False,False
2020-02-21,0.015362038024289865,0.0076810190121449325,105,False,False
2020-02-24,0.040397429687711324,0.020198714843855662,103,False,False
2020-02-25,0.027275208985781008,0.013637604492890504,102,False,False
2020-02-26,0.027469676233186854,0.013734838116593427,101,False,False
2020-02-27,1.0,0.5,0,True,False
2020-03-02,1.0,0.5,104,False,True
2020-03-03,1.0,0.5,0,True,False
2020-03-04,1.0,0.5,104,False,True
2020-03-05,1.0,0.5,0,True,False
2020-05-26,0.9999999999999998,0.4999999999999999,103,False,True
2020-06-01,0.04588925995089363,0.022944629975446815,101,False,False
2020-06-30,0.04204139189351045,0.021020695946755225,101,False,False
2020-07-31,0.04700468716729868,0.02350234358364934,100,False,False
2020-08-26,0.0018216602721197873,0.0009108301360598937,99,False,False
2020-08-31,0.05864763867845765,0.029323819339228827,98,False,False
2020-09-30,0.038225017338938405,0.019112508669469203,98,False,False
2020-11-02,0.2054493297119504,0.1027246648559752,99,False,False
2020-11-30,0.04694589242985607,0.023472946214928035,99,False,False
2020-12-31,0.029112413435459082,0.014556206717729541,99,False,False
2021-02-01,0.06385352990765712,0.03192676495382856,100,False,False
2021-02-05,0.012835306421307407,0.006417653210653703,99,False,False
2021-02-16,0.004356119140263563,0.0021780595701317816,98,False,False
2021-02-23,0.014060675069698221,0.0070303375348491105,97,False,False
2021-02-26,0.01778185623750879,0.008890928118754395,96,False,False
2021-03-01,0.16344033100006347,0.08172016550003174,99,False,False
2021-03-31,0.0821977588178894,0.0410988794089447,99,False,False
2021-04-30,0.04022296955134282,0.02011148477567141,100,False,False
2021-06-01,0.0345830906331036,0.0172915453165518,101,False,False
2021-06-22,0.0033324705096481194,0.0016662352548240597,100,False,False
2021-06-30,0.058236156288495405,0.029118078144247703,101,False,False
2021-08-02,0.057162640942310924,0.028581320471155462,103,False,False
2021-08-31,0.04830822498676952,0.02415411249338476,104,False,False
2021-09-30,0.03100487563161981,0.015502437815809905,104,False,False
2021-11-01,0.04821030523456393,0.024105152617281966,104,False,False
2021-11-30,0.03886405604510748,0.01943202802255374,105,False,False
2021-12-31,0.05306539163038361,0.026532695815191805,106,False,False
2022-01-21,0.9999999999999999,0.49999999999999994,0,True,False
2022-01-24,0.9999999999999999,0.49999999999999994,106,False,True
2022-01-25,0.9999999999999999,0.49999999999999994,0,True,False
2022-01-28,0.9999999999999999,0.49999999999999994,106,False,True
2022-01-31,0.06933016039199995,0.034665080195999974,107,False,False
2022-02-04,0.013234727685019205,0.006617363842509602,106,False,False
2022-02-11,1.0000000000000002,0.5000000000000001,0,True,False
2022-02-15,1.0000000000000002,0.5000000000000001,106,False,True
2022-02-17,1.0000000000000002,0.5000000000000001,0,True,False
2022-03-18,1.0,0.5,111,False,True
2022-03-31,0.045649476604724105,0.022824738302362053,113,False,False
2022-04-11,1.0,0.5,0,True,False
2022-08-16,1.0,0.5,118,False,True
2022-08-17,1.0,0.5,0,True,False
2022-11-30,1.0,0.5,122,False,True
2022-12-05,1.0,0.5,0,True,False
2022-12-13,1.0,0.5,122,False,True
2022-12-14,1.0,0.5,0,True,False
2023-01-11,1.0,0.5,122,False,True
2023-01-18,1.0,0.5,0,True,False
2023-01-20,1.0,0.5,122,False,True
2023-01-31,0.06931066063021404,0.03465533031510702,120,False,False
2023-02-21,0.00608051944038959,0.003040259720194795,119,False,False
2023-02-24,0.013624562774773825,0.006812281387386912,118,False,False
2023-02-28,0.4450172580969285,0.22250862904846425,121,False,False
2023-03-10,0.9999999999999999,0.49999999999999994,0,True,False
2023-03-14,0.9999999999999999,0.49999999999999994,121,False,True
2023-03-15,0.9999999999999999,0.49999999999999994,0,True,False
2023-03-16,0.9999999999999999,0.49999999999999994,121,False,True
2023-03-31,0.07199299193351068,0.03599649596675534,121,False,False
2023-05-01,0.04646747330627997,0.023233736653139984,121,False,False
2023-05-26,0.001454478697231308,0.000727239348615654,120,False,False
2023-05-31,0.0632132663178156,0.0316066331589078,118,False,False
2023-06-30,0.03369342475504587,0.016846712377522936,119,False,False
2023-07-31,0.03179648511607049,0.015898242558035246,119,False,False
2023-08-31,0.04222031499979376,0.02111015749989688,119,False,False
2023-10-02,0.032583016353221514,0.016291508176610757,120,False,False
2023-10-25,1.0,0.5,0,True,False
2023-11-01,1.0,0.5,119,False,True
2023-11-30,0.05076566548229254,0.02538283274114627,118,False,False
2024-01-02,0.03234128764477849,0.016170643822389245,119,False,False
2024-01-31,0.06587742198955503,0.03293871099477751,120,False,False
2024-02-06,0.006855024822436462,0.003427512411218231,119,False,False
2024-02-15,0.02154664083752441,0.010773320418762205,118,False,False
2024-02-22,0.0037033330144228046,0.0018516665072114023,117,False,False
2024-02-23,0.012018050467677725,0.006009025233838863,116,False,False
2024-02-29,0.2921781019286577,0.14608905096432884,114,False,False
2024-03-08,0.002712973830438133,0.0013564869152190664,113,False,False
2024-04-01,0.04289471257827126,0.02144735628913563,114,False,False
2024-04-30,0.050815079684216106,0.025407539842108053,114,False,False
2024-05-31,0.04803107083349682,0.02401553541674841,115,False,False
2024-07-01,0.0423993861125099,0.02119969305625495,115,False,False
2024-07-31,0.04097957408666379,0.020489787043331896,115,False,False
2024-09-03,0.0469479176046767,0.02347395880233835,114,False,False
