book,cost_bps,ret_2020,ret_2022,ret_2023,ret_2024,full_cagr,full_vol,full_sharpe,full_max_dd,full_calmar,train_max_dd,test_cagr,aum
Impact @ $100M,,0.3174133402190491,0.0006039032090909835,0.34812364833596,0.20783312703880918,0.2283336039802082,0.13536946962819946,1.4398357224442375,-0.09094856399857909,2.5105795401428823,-0.09094856399857854,0.2772917822986374,100000000.0
Impact @ $250M,,0.31680493034858537,-0.00028630200285884033,0.3473261465280024,0.20779630807655125,0.227820378427116,0.13534679599400085,1.4369646798109896,-0.09100295102107159,2.5034394585112363,-0.09100295102107137,0.2768928810697666,250000000.0
Impact @ $500M,,0.31611955265240543,-0.0012886553904006837,0.3464278902447542,0.20775481505252813,0.22724220509518567,0.135321463977878,1.4337255949975558,-0.09106424370741106,2.4954053956162388,-0.09106424370741106,0.2764434513211591,500000000.0
Impact @ $1.0B,,0.31515079802096446,-0.002704595962236489,0.3451584835724668,0.20769613693572375,0.22642494096396049,0.13528603843284048,1.4291385480318632,-0.09115092438725259,2.484066316233935,-0.09115092438725281,0.27580808252120126,1000000000.0
