date,symbol,delta_w,adv
2019-12-31,A,0.0034611799062452793,143334773.2383728
2019-12-31,ABBV,0.01746409704360906,535774950.5783081
2019-12-31,ABT,0.019615086095536218,333221439.9784088
2019-12-31,ACN,0.017468027079778573,339208999.56588745
2019-12-31,ADBE,0.0205201601821092,691377263.4628296
2019-12-31,ADI,0.005584242458223144,213877815.24009705
2019-12-31,AKAM,0.0017953268444710726,89063207.10296631
2019-12-31,ALGN,0.0028401857580192644,149897088.4475708
2019-12-31,ALLE,0.001520610295505072,66173876.17378235
2019-12-31,AMAT,0.007133573320609613,361268716.62425995
2019-12-31,AME,0.0028899053104351246,82559689.70718384
2019-12-31,AMGN,0.019364443680341608,434953546.3157654
2019-12-31,AMT,0.01293250430184332,292706618.8446045
2019-12-31,AZO,0.003875502752934727,275082408.96606445
2019-12-31,BIIB,0.007465613587321013,451611300.2319336
2019-12-31,BMY,0.013406431573084469,962368375.6668091
2019-12-31,CBOE,0.0017086387619973922,62350484.46159363
2019-12-31,CDNS,0.0024779213010817924,113291953.4614563
2019-12-31,CHD,0.0022501711415967456,100041736.3899231
2019-12-31,CL,0.007578877193686402,242557482.39707947
2019-12-31,CME,0.008802662631187142,241621936.06033325
2019-12-31,CPAY,0.0031512577227339063,167836399.55444336
2019-12-31,CPRT,0.0006665361768394659,136182553.8105011
2019-12-31,CRL,0.0009395824178373794,40886887.30773926
2019-12-31,CRM,0.01597773498431432,733025836.9491577
2019-12-31,CSCO,0.02600550073068226,916574461.3418579
2019-12-31,CTSH,0.004565671938633529,147142548.50120544
2019-12-31,DHR,0.012177762034187672,3162189379.0749207
2019-12-31,EBAY,0.004215467196403367,255199510.5243683
2019-12-31,EW,0.002060670268433533,292806315.91186523
2019-12-31,FDS,0.001304806345051164,87493751.60064697
2019-12-31,FFIV,0.00107556742111874,95851431.80236816
2019-12-31,FICO,0.0013836179157793247,61364628.230285645
2019-12-31,FIS,0.005891570835438316,355279847.23205566
2019-12-31,FISV,0.006103137584613311,252509186.4337921
2019-12-31,FTV,0.002055847632184154,131673599.27215767
2019-12-31,GDDY,0.0015147594535349436,97758767.12303162
2019-12-31,GEN,0.0020512488545786378,195294120.26252747
2019-12-31,GPN,0.0036792162935126247,244297418.5180664
2019-12-31,HON,0.01628617681358292,393343451.68302155
2019-12-31,HST,0.0017522958419941511,140072583.82463455
2019-12-31,HSY,0.003932906683663135,90844201.31378174
2019-12-31,ICE,0.006718708948648954,222461909.8968506
2019-12-31,IEX,0.0017020807877579042,64902690.58532715
2019-12-31,ILMN,0.006052282493383065,255559417.34039307
2019-12-31,INTC,0.0344838066367384,1075578607.685852
2019-12-31,INTU,0.008694733285976449,323643953.46832275
2019-12-31,IR,0.0009273934974998161,29745359.160232544
2019-12-31,ISRG,0.0028785849924489603,260722314.59884644
2019-12-31,ITW,0.0075193835220547425,164503343.4616089
2019-12-31,IVZ,0.00091093352918204,94566420.90950012
2019-12-31,JKHY,0.0014375094644515471,43746317.72232056
2019-12-31,JNJ,0.05078306201748085,761406961.8492126
2019-12-31,KDP,0.005192948448267925,49439549.670410156
2019-12-31,KEYS,0.0025009488457382757,132718734.86022949
2019-12-31,KO,0.030358630939881674,514885155.5580139
2019-12-31,LITE,0.0007755364121934275,114448825.86975098
2019-12-31,LULU,0.003594185554995632,427354718.5523987
2019-12-31,LUV,0.003953137251868474,180448841.47605896
2019-12-31,MCD,0.01980648997820337,483228603.250885
2019-12-31,MCO,0.005794435180695209,148754378.6102295
2019-12-31,MDT,0.01940583985673615,403173907.0491791
2019-12-31,META,0.07649126566046024,2228324916.2338257
2019-12-31,MMM,0.010850998373033027,415027502.91171265
2019-12-31,MNST,0.0011020285467846747,157131071.9335556
2019-12-31,MPWR,0.0009653970155443641,43132294.96765137
2019-12-31,MRK,0.029662738323171838,633455196.5938034
2019-12-31,MSCI,0.0027726712934263687,97409417.81768799
2019-12-31,MSFT,0.10000000000000002,2878700243.197632
2019-12-31,MTD,0.002522353156030721,132466486.90185547
2019-12-31,MU,0.007588798810869163,954546559.6393585
2019-12-31,NDSN,0.0011966873263811028,41867136.3861084
2019-12-31,NOW,0.0012979685127424638,438046056.85424805
2019-12-31,NSC,0.006640245382292718,262972913.05541992
2019-12-31,NTAP,0.0019061089551736553,101382850.4781723
2019-12-31,NXPI,0.005336940327744494,290041874.3160248
2019-12-31,ORCL,0.022704873067751333,628185015.1227951
2019-12-31,OXY,0.004706293950011029,385337193.3879852
2019-12-31,PAYX,0.003899237668694986,102942438.07525635
2019-12-31,PFE,0.02834681095908863,566625420.7593689
2019-12-31,PG,0.03987419641832319,806594165.290451
2019-12-31,PHM,0.0013717667346616602,103848536.30981445
2019-12-31,PTC,0.0010978353231560762,37931552.50701904
2019-12-31,QCOM,0.012888990591909802,661149427.8774261
2019-12-31,REGN,0.005499533276581957,296600364.6057129
2019-12-31,RMD,0.002840305097633512,70926817.93365479
2019-12-31,ROK,0.002991713125249446,173774185.5567932
2019-12-31,ROL,0.0009231121094757152,46981057.041835785
2019-12-31,ROP,0.004673077844717541,140356634.75494385
2019-12-31,SNPS,0.0026698379157218534,144440805.16357422
2019-12-31,SPGI,0.008186832267677887,332265572.61402893
2019-12-31,SWKS,0.0026233478406803732,221372538.42163086
2019-12-31,SYK,0.010186351249173584,310190311.0839844
2019-12-31,TECH,0.00026559538817351057,26229328.466033936
2019-12-31,TER,0.0015270363987611659,90293828.93333435
2019-12-31,TMO,0.016828009934792346,302743638.30718994
2019-12-31,TRMB,0.0013345340724657323,30455467.765426636
2019-12-31,TROW,0.0037007508643466577,97794476.73072815
2019-12-31,TTWO,0.0017522831383157704,116456359.18617249
2019-12-31,TXN,0.01620410696193087,452024825.687027
2019-12-31,TYL,0.0015358213934739387,81165175.16326904
2019-12-31,UNP,0.016724127774946793,402647213.5131836
2019-12-31,VEEV,0.002801676231806725,167748114.5729065
2019-12-31,VRSK,0.003124199389555216,99077975.32272339
2019-12-31,VRSN,0.0029508618539393866,100834239.23492432
2019-12-31,VRTX,0.007128130524505086,234709629.17022705
2019-12-31,ZBRA,0.0017696376920429211,93820813.98925781
2019-12-31,ZTS,0.008097783247844452,237054666.54968262
2020-01-31,A,-0.00010884409375141318,145943448.44970703
2020-01-31,ABBV,-0.0014702685149481538,761042903.5930634
2020-01-31,ABT,7.925902144014299e-05,472599033.2496643
2020-01-31,ACN,-0.00043077772357443325,462889788.54599
2020-01-31,ADBE,0.0011061997479962296,737814282.1777344
2020-01-31,ADI,-0.00042293457546864564,238797825.42800903
2020-01-31,AKAM,0.0001464452472804095,98486866.47605896
2020-01-31,ALGN,-0.00022118299472605575,247401614.05944824
2020-01-31,ALLE,5.964910853837723e-05,85636104.67758179
2020-01-31,AMAT,-0.00035092467818557873,390388729.4692993
2020-01-31,AME,-7.275077365616377e-05,112964104.60624695
2020-01-31,AMGN,-0.0019956474015521697,482905239.1532898
2020-01-31,AMT,0.00011866463251932954,331134556.39038086
2020-01-31,AZO,-0.00043100366694244973,255594830.46875
2020-01-31,BIIB,-0.0006959406612259498,403462786.0183716
2020-01-31,BMY,-0.0002482721405522824,862875226.5148163
2020-01-31,CBOE,4.727756931512464e-05,74928924.64523315
2020-01-31,CDNS,0.00010034350772326114,92139665.52391052
2020-01-31,CHD,0.0001257171441898428,119036179.10842896
2020-01-31,CL,0.0005504813037459774,259887205.02738953
2020-01-31,CME,0.0007265460129338239,258608079.88204956
2020-01-31,CPAY,0.0003041160105932408,280113273.49853516
2020-01-31,CPRT,7.771104050016393e-05,122434634.79270935
2020-01-31,CRL,1.1968771168578002e-05,47172883.28857422
2020-01-31,CRM,0.0019469666596010071,818937645.8892822
