book,cost_bps,ret_2020,ret_2022,ret_2023,ret_2024,full_cagr,full_vol,full_sharpe,full_max_dd,full_calmar,train_max_dd,test_cagr,kill,pass
"Gross, 0 bp",0.0,0.3228155220537481,0.009694110175344495,0.35614641193955254,0.2085123544988674,0.23343596104394826,0.13559204860420612,1.4682853458931164,-0.0903759595201502,2.5829430999501746,-0.09037595952015032,0.281463505747759,,True
Flat 5 bp,5.0,0.3184608244606646,0.0021374641513280945,0.34949695091650157,0.20789648563801566,0.22921716992266972,0.1354089160997539,1.4447692503417704,-0.0908549767383322,2.5228906346300537,-0.0908549767383322,0.2779784338272122,,True
Flat 10 bp,10.0,0.3141185243464675,-0.005366310066287405,0.34287704674024044,0.20728088878875783,0.22501090976515425,0.13523684595204052,1.4210732072902459,-0.0913339697392076,2.463605933341603,-0.09133396973920749,0.27450136614857157,,True
Flat 20 bp,20.0,0.3054709968766003,-0.020216617667750403,0.3297254373856757,0.20605051070418656,0.21663585552908038,0.13492605929882615,1.3731602317551357,-0.09265645254852373,2.3380547125482627,-0.09265645254852362,0.2675711828675331,,True
Flat 50 bp,50.0,0.27982285308402766,-0.06353398614210459,0.2909677885179076,0.202365893793383,0.19180815083891578,0.13426305933270213,1.2256239428889812,-0.10094824209711029,1.9000642988354368,-0.1009482420971104,0.24697116209699543,,True
S&P 500,,0.18331620734466192,-0.1817537451113146,0.26175800889907586,0.2534245449035941,0.14749443994106648,0.20937845671590347,0.6669231117324032,-0.33717265401236163,0.4374448466857545,-0.33717265401236174,0.259311482255588,,True
Halal (SPUS),,0.2567955980529717,-0.2276119385409311,0.34196444518370295,0.27673556815553435,0.17779736697707582,0.2158422805066339,0.7739560815994277,-0.3080151286248144,0.5772358253014461,-0.3080151286248145,0.311055597676162,,True
