book,lag,ret_2020,ret_2022,ret_2023,ret_2024,full_cagr,full_vol,full_sharpe,full_max_dd,full_calmar,train_max_dd,train_calmar,test_cagr,test_max_dd,te_vs_month_end,events,name_days,weight_days,one_way_turnover,cost_drag_stub,kill,pass
"FCF + SMA, exit month_end",month_end,0.32155581359467567,0.009699144112045976,0.3561249588750821,0.20759002367230472,0.23286443164350112,0.1356014253168598,1.4647727325640565,-0.09037595952015043,2.5766191903232976,-0.09037595952015065,2.2252062969832154,0.2809622884491123,-0.07785723392849075,,25.0,150.0,0.7279076530575074,0.0,0.0,,True
"FCF + SMA, exit same_day",same_day,0.32185810459045205,0.009441300247455153,0.35595338922424724,0.2086721249395289,0.23319681266408887,0.1356322462389842,1.466460634808268,-0.0903759595201502,2.5802969495676042,-0.0903759595201502,2.227765295691045,0.28145697873687103,-0.0778572339284912,0.00040348513623877046,25.0,0.0,0.0,0.13343918654993578,0.00026687837309987154,,True
"FCF + SMA, exit next_open",next_open,0.3228155220537481,0.009694110175344495,0.35614641193955254,0.2085123544988674,0.23343596104394826,0.13559204860420612,1.4682853458931164,-0.0903759595201502,2.5829430999501746,-0.09037595952015032,2.232013499991946,0.281463505747759,-0.07785723392849098,0.00044236298856409085,25.0,25.0,0.13343918654993578,0.13343918654993578,0.00026687837309987154,,True
Always-on FCF (10% cap),n/a,0.2488417663736049,-0.22914889321546694,0.3025164934062399,0.20759002367230472,0.14558364008584146,0.21624141931745702,0.6444946964461793,-0.2947383799440657,0.49394191592377534,-0.29473837994406626,0.2620800184130256,0.2552875227761153,-0.0947970062411767,,,,,,,,True
S&P 500,benchmark,0.18331620734466192,-0.1817537451113146,0.26175800889907586,0.2534245449035941,0.14749443994106648,0.20937845671590347,0.6669231117324032,-0.33717265401236163,0.4374448466857545,-0.33717265401236174,0.22595176762085487,0.259311482255588,-0.09974318833807838,,,,,,,,True
Halal (SPUS),benchmark,0.2567955980529717,-0.2276119385409311,0.34196444518370295,0.27673556815553435,0.17779736697707582,0.2158422805066339,0.7739560815994277,-0.3080151286248144,0.5772358253014461,-0.3080151286248145,0.3116665073593799,0.311055597676162,-0.11463289070465044,,,,,,,,True
